,eof1_pval,lat,lon
0,5.81453e-218,-12.5578,278.438
0,3.53711e-07,-12.5578,151.875
0,0.000184461,-12.5578,154.688
0,0.0630246,-12.5578,157.5
0,0.0214714,-12.5578,160.312
0,0.00833013,-12.5578,163.125
0,0.00510149,-12.5578,165.938
0,0.160731,-12.5578,168.75
0,0.0820306,-12.5578,171.562
0,3.47363e-09,-12.5578,174.375
0,8.53607e-25,-12.5578,177.188
0,5.97516e-44,-12.5578,180
0,2.32129e-61,-12.5578,182.812
0,2.49114e-97,-12.5578,185.625
0,1.44545e-134,-12.5578,188.438
0,6.64494e-159,-12.5578,191.25
0,1.04315e-161,-12.5578,194.062
0,1.92036e-144,-12.5578,196.875
0,1.32052e-127,-12.5578,199.688
0,6.19684e-104,-12.5578,202.5
0,4.34579e-106,-12.5578,205.312
0,1.73472e-97,-12.5578,208.125
0,6.40294e-84,-12.5578,210.938
0,1.9613e-65,-12.5578,213.75
0,6.251e-46,-12.5578,216.562
0,1.2331e-32,-12.5578,219.375
0,2.99432e-23,-12.5578,222.188
0,1.04016e-17,-12.5578,225
0,7.08858e-13,-12.5578,227.812
0,2.86777e-10,-12.5578,230.625
0,3.8262e-07,-12.5578,233.438
0,0.00110142,-12.5578,236.25
0,0.277093,-12.5578,239.062
0,0.164415,-12.5578,241.875
0,0.000464778,-12.5578,244.688
0,3.62933e-08,-12.5578,247.5
0,5.72241e-14,-12.5578,250.312
0,3.21606e-20,-12.5578,253.125
0,2.43417e-25,-12.5578,255.938
0,1.14939e-29,-12.5578,258.75
0,5.78667e-32,-12.5578,261.562
0,8.10506e-44,-12.5578,264.375
0,1.63943e-58,-12.5578,267.188
0,4.5722e-118,-12.5578,270
0,4.9961e-166,-12.5578,272.812
0,4.80132e-224,-12.5578,275.625
0,1.51606e-08,12.5578,278.438
0,0.00123871,12.5578,151.875
0,9.99774e-06,12.5578,154.688
0,2.80428e-07,12.5578,157.5
0,3.17469e-08,12.5578,160.312
0,2.93891e-09,12.5578,163.125
0,5.01922e-13,12.5578,165.938
0,1.10063e-16,12.5578,168.75
0,1.75735e-20,12.5578,171.562
0,1.20295e-25,12.5578,174.375
0,3.40019e-30,12.5578,177.188
0,2.60075e-46,12.5578,180
0,3.44092e-62,12.5578,182.812
0,6.89988e-79,12.5578,185.625
0,4.86977e-94,12.5578,188.438
0,4.86537e-108,12.5578,191.25
0,2.26168e-122,12.5578,194.062
0,1.15793e-135,12.5578,196.875
0,1.66919e-147,12.5578,199.688
0,1.77191e-146,12.5578,202.5
0,9.12834e-166,12.5578,205.312
0,9.83369e-178,12.5578,208.125
0,3.70988e-185,12.5578,210.938
0,1.62278e-176,12.5578,213.75
0,8.75994e-155,12.5578,216.562
0,8.33363e-131,12.5578,219.375
0,1.6033e-98,12.5578,222.188
0,6.40622e-82,12.5578,225
0,4.35595e-66,12.5578,227.812
0,3.22858e-71,12.5578,230.625
0,5.76038e-75,12.5578,233.438
0,7.07393e-86,12.5578,236.25
0,6.11269e-86,12.5578,239.062
0,1.87325e-74,12.5578,241.875
0,4.05964e-59,12.5578,244.688
0,2.80152e-40,12.5578,247.5
0,3.60265e-31,12.5578,250.312
0,8.65813e-22,12.5578,253.125
0,1.57142e-15,12.5578,255.938
0,1.87497e-11,12.5578,258.75
0,1.34799e-09,12.5578,261.562
0,1.24871e-06,12.5578,264.375
0,0.00147254,12.5578,267.188
0,0.125397,12.5578,270
0,0.576397,12.5578,272.812
0,0.00629918,12.5578,275.625
0,0.762221,9.76715,278.438
0,0.000132518,9.76715,151.875
0,5.46308e-11,9.76715,154.688
0,1.46172e-17,9.76715,157.5
0,7.72977e-22,9.76715,160.312
0,6.51859e-25,9.76715,163.125
0,7.2797e-30,9.76715,165.938
0,3.72661e-36,9.76715,168.75
0,4.54829e-47,9.76715,171.562
0,3.55335e-68,9.76715,174.375
0,4.77066e-90,9.76715,177.188
0,2.65347e-121,9.76715,180
0,9.23088e-142,9.76715,182.812
0,9.22091e-162,9.76715,185.625
0,1.31883e-173,9.76715,188.438
0,2.39394e-185,9.76715,191.25
0,1.44349e-195,9.76715,194.062
0,2.00719e-204,9.76715,196.875
0,1.81652e-212,9.76715,199.688
0,1.08163e-197,9.76715,202.5
0,3.28504e-217,9.76715,205.312
0,6.95255e-225,9.76715,208.125
0,1.02708e-230,9.76715,210.938
0,2.37771e-221,9.76715,213.75
0,5.18435e-195,9.76715,216.562
0,1.24044e-156,9.76715,219.375
0,2.72603e-105,9.76715,222.188
0,8.50202e-76,9.76715,225
0,1.77646e-47,9.76715,227.812
0,4.52606e-39,9.76715,230.625
0,1.14842e-32,9.76715,233.438
0,2.18049e-32,9.76715,236.25
0,1.29309e-29,9.76715,239.062
0,1.08972e-24,9.76715,241.875
0,6.5158e-18,9.76715,244.688
0,3.74684e-10,9.76715,247.5
0,7.72251e-07,9.76715,250.312
0,0.000624779,9.76715,253.125
0,0.0693801,9.76715,255.938
0,0.523137,9.76715,258.75
0,0.987666,9.76715,261.562
0,0.247289,9.76715,264.375
0,0.0130656,9.76715,267.188
0,0.000205278,9.76715,270
0,8.01965e-06,9.76715,272.812
0,0.00505665,9.76715,275.625
0,2.56241e-15,6.97653,278.438
0,4.09813e-06,6.97653,151.875
0,7.57695e-19,6.97653,154.688
0,6.36069e-32,6.97653,157.5
0,2.70791e-42,6.97653,160.312
0,3.5455e-49,6.97653,163.125
0,3.50264e-55,6.97653,165.938
0,1.53431e-66,6.97653,168.75
