,eof1_pval,lat,lon
0,0,-12.5578,278.438
0,2.35485e-70,-12.5578,151.875
0,4.83745e-67,-12.5578,154.688
0,1.89914e-54,-12.5578,157.5
0,1.85364e-42,-12.5578,160.312
0,7.53209e-31,-12.5578,163.125
0,5.72368e-25,-12.5578,165.938
0,2.00485e-20,-12.5578,168.75
0,6.93866e-18,-12.5578,171.562
0,8.53313e-15,-12.5578,174.375
0,2.8491e-09,-12.5578,177.188
0,0.0164128,-12.5578,180
0,0.0479287,-12.5578,182.812
0,9.73995e-16,-12.5578,185.625
0,6.91813e-49,-12.5578,188.438
0,2.01218e-80,-12.5578,191.25
0,8.91986e-101,-12.5578,194.062
0,6.64134e-110,-12.5578,196.875
0,1.33551e-143,-12.5578,199.688
0,2.03929e-172,-12.5578,202.5
0,3.72887e-249,-12.5578,205.312
0,6.60154e-312,-12.5578,208.125
0,0,-12.5578,210.938
0,0,-12.5578,213.75
0,2.35365e-317,-12.5578,216.562
0,2.91477e-284,-12.5578,219.375
0,5.55785e-249,-12.5578,222.188
0,2.37299e-244,-12.5578,225
0,4.07009e-241,-12.5578,227.812
0,6.11183e-265,-12.5578,230.625
0,1.32358e-283,-12.5578,233.438
0,4.2935e-297,-12.5578,236.25
0,3.43576e-301,-12.5578,239.062
0,2.94308e-297,-12.5578,241.875
0,3.11151e-291,-12.5578,244.688
0,1.88263e-277,-12.5578,247.5
0,3.62715e-257,-12.5578,250.312
0,7.73289e-235,-12.5578,253.125
0,2.7302e-222,-12.5578,255.938
0,5.38627e-211,-12.5578,258.75
0,1.98114e-198,-12.5578,261.562
0,1.47287e-201,-12.5578,264.375
0,1.09357e-194,-12.5578,267.188
0,6.77237e-273,-12.5578,270
0,3.2403e-311,-12.5578,272.812
0,0,-12.5578,275.625
0,4.35729e-153,12.5578,278.438
0,2.03865e-29,12.5578,151.875
0,1.2372e-23,12.5578,154.688
0,6.01957e-17,12.5578,157.5
0,2.52815e-06,12.5578,160.312
0,0.186227,12.5578,163.125
0,0.306431,12.5578,165.938
0,0.0201522,12.5578,168.75
0,0.0132204,12.5578,171.562
