,eof2,lat,lon
0,-0.575273,-12.5578,278.438
0,0.153435,-12.5578,151.875
0,0.14779,-12.5578,154.688
0,0.134284,-12.5578,157.5
0,0.11401,-12.5578,160.312
0,0.0966201,-12.5578,163.125
0,0.0893253,-12.5578,165.938
0,0.0835582,-12.5578,168.75
0,0.0797008,-12.5578,171.562
0,0.0677548,-12.5578,174.375
0,0.0517644,-12.5578,177.188
0,0.0192536,-12.5578,180
0,-0.0155842,-12.5578,182.812
0,-0.0525187,-12.5578,185.625
0,-0.0925513,-12.5578,188.438
0,-0.13878,-12.5578,191.25
0,-0.165387,-12.5578,194.062
0,-0.176297,-12.5578,196.875
0,-0.211383,-12.5578,199.688
0,-0.253376,-12.5578,202.5
0,-0.293272,-12.5578,205.312
0,-0.333536,-12.5578,208.125
0,-0.375086,-12.5578,210.938
0,-0.402713,-12.5578,213.75
0,-0.412934,-12.5578,216.562
0,-0.430941,-12.5578,219.375
0,-0.452841,-12.5578,222.188
0,-0.448762,-12.5578,225
0,-0.443896,-12.5578,227.812
0,-0.458711,-12.5578,230.625
0,-0.469438,-12.5578,233.438
0,-0.471991,-12.5578,236.25
0,-0.465948,-12.5578,239.062
0,-0.453026,-12.5578,241.875
0,-0.433611,-12.5578,244.688
0,-0.412339,-12.5578,247.5
0,-0.393693,-12.5578,250.312
0,-0.375374,-12.5578,253.125
0,-0.358199,-12.5578,255.938
0,-0.341492,-12.5578,258.75
0,-0.325369,-12.5578,261.562
0,-0.315117,-12.5578,264.375
0,-0.3078,-12.5578,267.188
0,-0.337654,-12.5578,270
0,-0.378852,-12.5578,272.812
0,-0.473635,-12.5578,275.625
0,-0.194418,12.5578,278.438
0,0.0983055,12.5578,151.875
0,0.0935937,12.5578,154.688
0,0.0851215,12.5578,157.5
0,0.0485638,12.5578,160.312
0,0.0143855,12.5578,163.125
0,-0.0114647,12.5578,165.938
0,-0.0260216,12.5578,168.75
0,-0.0264618,12.5578,171.562
0,-0.0323593,12.5578,174.375
0,-0.0409853,12.5578,177.188
0,-0.0546098,12.5578,180
0,-0.0675942,12.5578,182.812
0,-0.0704597,12.5578,185.625
0,-0.0840116,12.5578,188.438
0,-0.118936,12.5578,191.25
0,-0.151145,12.5578,194.062
0,-0.181182,12.5578,196.875
0,-0.197219,12.5578,199.688
0,-0.209255,12.5578,202.5
0,-0.201939,12.5578,205.312
0,-0.20141,12.5578,208.125
0,-0.224637,12.5578,210.938
0,-0.254376,12.5578,213.75
0,-0.292256,12.5578,216.562
0,-0.301885,12.5578,219.375
0,-0.297388,12.5578,222.188
0,-0.276686,12.5578,225
0,-0.255841,12.5578,227.812
0,-0.250065,12.5578,230.625
0,-0.23884,12.5578,233.438
0,-0.216715,12.5578,236.25
0,-0.197019,12.5578,239.062
0,-0.179266,12.5578,241.875
0,-0.177343,12.5578,244.688
0,-0.179945,12.5578,247.5
0,-0.186814,12.5578,250.312
0,-0.193456,12.5578,253.125
0,-0.199306,12.5578,255.938
0,-0.218801,12.5578,258.75
0,-0.255352,12.5578,261.562
0,-0.285872,12.5578,264.375
0,-0.313377,12.5578,267.188
0,-0.384941,12.5578,270
0,-0.438345,12.5578,272.812
0,-0.302417,12.5578,275.625
0,-0.270693,9.76715,278.438
0,0.0931122,9.76715,151.875
0,0.0819729,9.76715,154.688
0,0.0682219,9.76715,157.5
0,0.0254683,9.76715,160.312
0,-0.0173321,9.76715,163.125
0,-0.0602964,9.76715,165.938
0,-0.0897319,9.76715,168.75
0,-0.102256,9.76715,171.562
0,-0.116568,9.76715,174.375
0,-0.131773,9.76715,177.188
0,-0.145928,9.76715,180
0,-0.159756,9.76715,182.812
