,eof2,lat,lon
0,-0.357658,-12.5578,278.438
0,-0.0424655,-12.5578,151.875
0,-0.030804,-12.5578,154.688
0,-0.0155854,-12.5578,157.5
0,-0.0187609,-12.5578,160.312
0,-0.0217231,-12.5578,163.125
0,-0.0239391,-12.5578,165.938
0,-0.0125202,-12.5578,168.75
0,0.0159424,-12.5578,171.562
0,0.0514188,-12.5578,174.375
0,0.0904023,-12.5578,177.188
0,0.114257,-12.5578,180
0,0.13477,-12.5578,182.812
0,0.143686,-12.5578,185.625
0,0.163682,-12.5578,188.438
0,0.205837,-12.5578,191.25
0,0.218244,-12.5578,194.062
0,0.206852,-12.5578,196.875
0,0.197153,-12.5578,199.688
0,0.187938,-12.5578,202.5
0,0.174165,-12.5578,205.312
0,0.16188,-12.5578,208.125
0,0.154804,-12.5578,210.938
0,0.144561,-12.5578,213.75
0,0.130357,-12.5578,216.562
0,0.121897,-12.5578,219.375
0,0.116308,-12.5578,222.188
0,0.100358,-12.5578,225
0,0.0836481,-12.5578,227.812
0,0.0712194,-12.5578,230.625
0,0.055934,-12.5578,233.438
0,0.0349354,-12.5578,236.25
0,0.011364,-12.5578,239.062
0,-0.0142657,-12.5578,241.875
0,-0.0349119,-12.5578,244.688
0,-0.0541342,-12.5578,247.5
0,-0.0744665,-12.5578,250.312
0,-0.0927529,-12.5578,253.125
0,-0.103879,-12.5578,255.938
0,-0.111638,-12.5578,258.75
0,-0.115189,-12.5578,261.562
0,-0.131233,-12.5578,264.375
0,-0.153523,-12.5578,267.188
0,-0.20065,-12.5578,270
0,-0.251652,-12.5578,272.812
0,-0.308813,-12.5578,275.625
0,0.0383033,12.5578,278.438
0,0.0277815,12.5578,151.875
0,0.0408363,12.5578,154.688
0,0.0519781,12.5578,157.5
0,0.0571457,12.5578,160.312
0,0.0648647,12.5578,163.125
0,0.081514,12.5578,165.938
0,0.0936283,12.5578,168.75
0,0.100074,12.5578,171.562
0,0.106239,12.5578,174.375
0,0.112265,12.5578,177.188
0,0.142647,12.5578,180
0,0.173651,12.5578,182.812
0,0.185277,12.5578,185.625
0,0.198002,12.5578,188.438
0,0.212925,12.5578,191.25
