,pc1,pc2,pc3,pc4
0,-11.9607,4.82836,-1.46208,-1.24398
1,-11.7458,4.75823,0.667833,-0.724155
2,-10.6585,4.85544,-1.11556,-0.432798
3,-9.42852,4.59467,-0.338129,0.705446
4,-9.51109,3.77862,-0.482176,1.02703
5,-8.56388,3.54668,0.195885,1.53971
6,-7.83705,3.07048,-0.247912,0.676147
7,-7.26455,1.93018,-2.04195,-0.0987363
8,-4.99449,0.312115,-2.08488,-0.576281
9,-0.938206,-1.05986,-1.55696,-0.342986
10,4.52684,-2.4355,-2.35593,0.249697
11,8.90726,-2.67036,-1.93304,1.59306
12,7.77331,-2.69001,-3.00351,0.700171
13,8.06767,-1.9419,-2.66546,0.474265
14,7.37569,-1.16068,-2.36558,0.8819
15,5.08154,-0.488951,-3.74292,-0.412346
16,5.90216,-0.533694,-3.95552,-1.4223
17,5.0825,-1.0727,-3.92472,-1.83961
18,5.04547,-0.988513,-4.88586,-3.3
19,4.70348,-0.400275,-4.32455,-3.55977
20,3.50105,-1.20307,-5.08884,-4.11635
21,5.3618,-2.12846,-4.41187,-3.25526
22,4.52466,-1.00231,-3.13539,-3.18282
23,1.91856,-0.996824,-1.87138,-3.13653
24,0.259122,-0.562133,-1.24206,-2.67057
25,-0.452392,0.347164,-0.676243,-1.66047
26,-0.331503,1.13146,-1.11344,-0.618458
27,1.10267,0.353632,-2.35546,0.115779
28,0.971251,-0.32661,-1.64009,0.755668
29,1.28198,0.633894,-1.16144,-0.428305
30,0.850401,1.04243,-1.18048,-1.00379
31,-1.28791,0.595506,-1.13203,-0.847809
32,-0.983121,0.221998,-0.54781,-0.88194
33,0.669057,-0.0554655,-1.06349,-0.779066
34,1.93021,-1.41362,-2.2499,0.478815
35,4.39445,-2.13677,-1.91368,0.0995014
36,5.21849,-3.0038,-1.25895,1.13549
37,3.68569,-3.21697,-1.09514,0.797152
38,1.87197,-3.30472,0.785627,2.39708
39,1.28254,-2.37831,-0.162717,3.78116
40,-1.45592,-3.53436,-0.846489,4.36855
41,-0.878062,-2.97022,-1.7176,1.24541
42,-2.34736,-0.14799,-1.77827,-1.92348
43,-3.64449,2.6313,-3.38266,-3.55694
44,-2.66419,3.43852,-2.69969,-2.56674
45,-1.47632,3.91712,-3.2246,-1.93916
46,0.884193,3.75859,-3.41165,-1.64552
47,1.33221,4.90029,-3.13122,-0.236073
48,5.31086,5.60861,-3.1166,-0.426899
49,7.53956,5.7106,-2.4571,-0.139576
50,6.8359,5.48913,-3.76557,-0.515396
51,6.79618,4.31809,-2.9494,0.722805
52,5.80165,3.68028,-1.87037,-0.173243
53,4.3699,2.68366,-1.48681,-1.84008
54,3.86979,0.440468,-1.58608,-0.638741
55,4.21141,-1.69615,-0.741386,0.493034
56,4.00594,-1.047,-0.909944,-0.0528696
57,3.75756,0.250549,0.636183,0.208961
58,7.36744,1.42853,-0.694245,-1.05752
59,7.95998,0.212818,-0.144964,-3.26331
60,7.05301,-1.28496,4.59758,-4.86681
61,7.84545,-3.96971,9.83258,-4.7908
62,8.8127,-3.94955,3.77553,-1.93773
63,8.07487,-3.22584,1.60371,-0.198662
64,8.26354,-2.24632,-0.00916842,1.04531
65,7.65053,-1.25016,0.157861,1.1576
66,5.73447,-0.638792,0.993659,2.42607
67,5.5806,0.485526,-1.17989,1.7727
68,7.41035,-0.133249,-1.99583,3.06591
69,7.08029,-0.918285,-0.828512,2.10936
70,6.98634,-1.11976,-1.1713,1.02417
71,6.51053,-3.23979,-1.83974,-0.833416
72,6.72892,-3.85686,-1.89495,-1.91047
73,6.43314,-4.36323,-1.85472,-2.79327
74,4.05694,-5.22321,-2.54542,-2.29505
75,1.29721,-5.30119,-2.61602,-1.99563
76,-0.739977,-4.8989,-2.72731,-2.74506
77,0.481957,-3.62084,-3.80469,-4.30927
78,1.38161,-3.42589,-2.38484,-3.26336
79,2.88509,-1.30495,-1.64754,-4.43405
80,5.84053,-0.0928733,-2.44313,-2.94785
81,10.0603,-0.910567,-1.4693,-2.32736
82,14.7335,-1.38022,-2.29975,-2.16043
83,13.6553,-4.54893,-1.67724,-3.59455
84,11.9954,-6.08458,-0.246998,-3.41046
85,9.23585,-8.18934,0.00100889,-1.75308
86,7.47598,-8.69475,-1.57949,-0.0503877
87,5.55202,-9.43568,-2.0108,0.142224
88,5.22802,-10.4005,-2.17975,-1.20778
89,5.41844,-10.6974,-1.63906,-0.723853
90,5.09632,-10.242,-1.27937,-1.76531
91,3.04708,-8.3213,-2.26363,-4.49244
92,2.59065,-8.19103,-2.42232,-2.62936
93,1.98275,-6.85745,-3.00769,-2.92828
94,2.41057,-5.71033,-1.69206,-2.0352
95,2.3433,-4.51444,-1.47714,-3.02115
96,5.55608,-3.73594,-0.775248,-4.01291
97,5.75648,-3.03517,0.251845,-5.17768
98,2.9865,-2.03183,-3.17364,-4.79017
99,0.348599,-1.87216,-5.35234,-4.97646
100,-2.22219,-1.73996,-5.96604,-3.34381
101,-3.82158,-0.170443,-5.65038,-2.85717
102,-7.07359,0.13066,-4.1722,-2.20306
103,-11.4655,0.000292447,-2.62433,-2.9239
104,-12.7931,-0.463002,-1.50971,-1.68689
105,-14.2665,-0.32206,-2.21784,-1.13565
106,-14.5014,0.622797,-3.67531,0.238983
107,-12.33,-0.0055811,-2.52905,-0.0212714
108,-11.3983,-0.0599107,-0.778617,0.974977
109,-11.0494,-1.07246,-0.105434,0.796378
110,-9.56689,-0.999293,0.429768,0.23815
111,-9.8653,-2.01114,-2.28662,0.658021
112,-10.4806,-0.985466,-4.36738,0.0681891
113,-11.2495,-1.10523,-5.06269,-0.0121919
114,-12.9676,-0.152121,-6.10641,-1.10772
115,-13.053,0.371129,-6.15768,-0.289771
116,-14.5347,0.338357,-6.14935,-0.0470295
117,-15.6926,0.608744,-5.63379,-0.0173938
118,-16.3589,0.479105,-5.19319,0.373254
119,-17.3282,-0.286758,-4.13679,0.512857
120,-18.5468,-0.556078,-4.08097,-0.431508
121,-18.6621,0.40588,-3.41696,0.205161
122,-18.1503,1.93262,-2.52808,-0.745488
123,-16.325,2.59227,-3.63994,-1.68046
124,-16.7505,1.8506,-3.58412,-1.12073
125,-17.7566,0.403083,-3.51738,-0.634796
126,-16.8071,0.477937,-3.40365,-1.51926
127,-13.9154,-0.803147,-3.33993,-2.12371
128,-10.8085,-1.89563,-4.2829,-1.70934
129,-9.82187,-2.76968,-5.6491,-1.71611
130,-9.10877,-3.99439,-6.14621,-1.13331
131,-7.61946,-5.60011,-6.2481,-0.274594
